Recipient,Amount
MULTIPLE_RECIPIENTS,58440469.00
MULTIPLE_RECIPIENTS,56018237.00
MULTIPLE_RECIPIENTS,55902068.00
EDUCATION_TENNESSEE_DEPARTMENT_OF,55069602.00
MULTIPLE_RECIPIENTS,55030700.00
MULTIPLE_RECIPIENTS,54691452.00
MULTIPLE_RECIPIENTS,54301525.00
MULTIPLE_RECIPIENTS,53025097.00
MULTIPLE_RECIPIENTS,51250769.00
MULTIPLE_RECIPIENTS,50880437.00
MULTIPLE_RECIPIENTS,50150575.00
MULTIPLE_RECIPIENTS,48992591.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,48939939.00
MULTIPLE_RECIPIENTS,48914100.00
MULTIPLE_RECIPIENTS,48314459.00
Health_Care_Finance_Admin_Bureau_of_TennCare,46065000.00
MULTIPLE_RECIPIENTS,45525300.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,44703980.00
Health_Care_Finance_Admin_Bureau_of_TennCare,43721260.00
MULTIPLE_RECIPIENTS,43519100.00
MULTIPLE_RECIPIENTS,41446798.00
MULTIPLE_RECIPIENTS,41217851.00
MULTIPLE_RECIPIENTS,40967712.00
MULTIPLE_RECIPIENTS,40889074.00
MULTIPLE_RECIPIENTS,40646269.00
MULTIPLE_RECIPIENTS,40511067.00
MULTIPLE_RECIPIENTS,40154847.00
MULTIPLE_RECIPIENTS,39944633.00
MULTIPLE_RECIPIENTS,39774968.00
MULTIPLE_RECIPIENTS,36511555.00
MULTIPLE_RECIPIENTS,36456092.00
MULTIPLE_RECIPIENTS,36358000.00
HUMAN_SERVICES_TENNESSEE_DEPARTMENT_OF,36349947.00
MULTIPLE_RECIPIENTS,36269991.00
MULTIPLE_RECIPIENTS,35724349.00
MULTIPLE_RECIPIENTS,35622608.00
MULTIPLE_RECIPIENTS,35592231.00
MULTIPLE_RECIPIENTS,35581405.00
MULTIPLE_RECIPIENTS,35459076.00
MULTIPLE_RECIPIENTS,35382369.00
MULTIPLE_RECIPIENTS,35376178.00
MULTIPLE_RECIPIENTS,35204513.00
MULTIPLE_RECIPIENTS,35178583.00
MULTIPLE_RECIPIENTS,35103573.00
MULTIPLE_RECIPIENTS,34793170.00
MULTIPLE_RECIPIENTS,34739779.00
MULTIPLE_RECIPIENTS,34727209.00
MULTIPLE_RECIPIENTS,34340978.00
MULTIPLE_RECIPIENTS,33640512.00
MULTIPLE_RECIPIENTS,33214421.00
EDUCATION_TENNESSEE_DEPARTMENT_OF,32195111.00
MULTIPLE_RECIPIENTS,31863827.00
MULTIPLE_RECIPIENTS,31753605.00
MULTIPLE_RECIPIENTS,31730000.00
MULTIPLE_RECIPIENTS,31545079.00
MULTIPLE_RECIPIENTS,31463560.00
MULTIPLE_RECIPIENTS,31306882.00
MULTIPLE_RECIPIENTS,31195323.00
MULTIPLE_RECIPIENTS,30887266.00
MULTIPLE_RECIPIENTS,30719216.00
MULTIPLE_RECIPIENTS,30505453.00
MULTIPLE_RECIPIENTS,30186172.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,29882963.00
MULTIPLE_RECIPIENTS,29789475.00
MULTIPLE_RECIPIENTS,29739765.00
MULTIPLE_RECIPIENTS,29355776.00
MULTIPLE_RECIPIENTS,29300511.00
MULTIPLE_RECIPIENTS,29252004.00
MULTIPLE_RECIPIENTS,29223453.00
MULTIPLE_RECIPIENTS,29211701.00
MULTIPLE_RECIPIENTS,29090052.00
MULTIPLE_RECIPIENTS,29069113.00
MULTIPLE_RECIPIENTS,29016928.00
MULTIPLE_RECIPIENTS,29011130.00
MULTIPLE_RECIPIENTS,28959620.00
MULTIPLE_RECIPIENTS,28947676.00
MULTIPLE_RECIPIENTS,28898463.00
MULTIPLE_RECIPIENTS,28885894.00
MULTIPLE_RECIPIENTS,28860916.00
MULTIPLE_RECIPIENTS,28819175.00
MULTIPLE_RECIPIENTS,28814313.00
MULTIPLE_RECIPIENTS,28606950.00
MULTIPLE_RECIPIENTS,28589971.00
MULTIPLE_RECIPIENTS,28545530.00
MULTIPLE_RECIPIENTS,28516819.00
MULTIPLE_RECIPIENTS,28392476.00
MULTIPLE_RECIPIENTS,28364729.00
MULTIPLE_RECIPIENTS,28281200.00
MULTIPLE_RECIPIENTS,28242347.00
MULTIPLE_RECIPIENTS,28206674.00
MULTIPLE_RECIPIENTS,28205382.00
MULTIPLE_RECIPIENTS,28075771.00
MULTIPLE_RECIPIENTS,27962800.00
MULTIPLE_RECIPIENTS,27922605.00
MULTIPLE_RECIPIENTS,27833725.00
MULTIPLE_RECIPIENTS,27749519.00
MULTIPLE_RECIPIENTS,27638800.00
MULTIPLE_RECIPIENTS,27627309.00
MULTIPLE_RECIPIENTS,27437304.00
MULTIPLE_RECIPIENTS,27054233.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,26972768.00
MULTIPLE_RECIPIENTS,26558920.00
MULTIPLE_RECIPIENTS,26054174.00
MULTIPLE_RECIPIENTS,26002254.00
MULTIPLE_RECIPIENTS,25964229.00
HUMAN_SERVICES_TENNESSEE_DEPARTMENT_OF,25893767.00
MULTIPLE_RECIPIENTS,25866052.00
MULTIPLE_RECIPIENTS,25728647.00
MULTIPLE_RECIPIENTS,25661150.00
STATE_OF_TENNESSEE,25612067.00
MULTIPLE_RECIPIENTS,25571994.00
MULTIPLE_RECIPIENTS,25560543.00
MULTIPLE_RECIPIENTS,25327561.00
Health_Care_Finance_Admin_Bureau_of_TennCare,25308000.00
MULTIPLE_RECIPIENTS,25125533.00
MULTIPLE_RECIPIENTS,25107821.00
Health_Care_Finance_Admin_Bureau_of_TennCare,25000000.00
MULTIPLE_RECIPIENTS,24979094.00
MULTIPLE_RECIPIENTS,24901064.00
MULTIPLE_RECIPIENTS,24889801.00
MULTIPLE_RECIPIENTS,24670810.00
MULTIPLE_RECIPIENTS,24550000.00
MULTIPLE_RECIPIENTS,24389000.00
MULTIPLE_RECIPIENTS,24238800.00
MULTIPLE_RECIPIENTS,24208774.00
MULTIPLE_RECIPIENTS,24114128.00
MULTIPLE_RECIPIENTS,24051137.00
MULTIPLE_RECIPIENTS,23806891.00
MULTIPLE_RECIPIENTS,23069771.00
MULTIPLE_RECIPIENTS,23028235.00
MULTIPLE_RECIPIENTS,22951356.00
MULTIPLE_RECIPIENTS,22923987.00
MULTIPLE_RECIPIENTS,22922146.00
MULTIPLE_RECIPIENTS,22899464.00
MULTIPLE_RECIPIENTS,22873773.00
MULTIPLE_RECIPIENTS,22849956.00
MULTIPLE_RECIPIENTS,22739638.00
MULTIPLE_RECIPIENTS,22727140.00
MULTIPLE_RECIPIENTS,22685664.00
MULTIPLE_RECIPIENTS,22493739.00
MULTIPLE_RECIPIENTS,22379606.00
MULTIPLE_RECIPIENTS,22261238.00
MULTIPLE_RECIPIENTS,22212023.00
MULTIPLE_RECIPIENTS,21990717.00
MULTIPLE_RECIPIENTS,21979045.00
MULTIPLE_RECIPIENTS,21933043.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,21860922.00
MULTIPLE_RECIPIENTS,21736027.00
MULTIPLE_RECIPIENTS,21609040.00
MULTIPLE_RECIPIENTS,21593526.00
MULTIPLE_RECIPIENTS,21580357.00
MULTIPLE_RECIPIENTS,21534160.00
MULTIPLE_RECIPIENTS,21474037.00
MULTIPLE_RECIPIENTS,21469466.00
MULTIPLE_RECIPIENTS,21461281.00
MULTIPLE_RECIPIENTS,21425245.00
MULTIPLE_RECIPIENTS,21332651.00
MULTIPLE_RECIPIENTS,21329397.00
MULTIPLE_RECIPIENTS,21265941.00
MULTIPLE_RECIPIENTS,21223069.00
MULTIPLE_RECIPIENTS,21128297.00
MULTIPLE_RECIPIENTS,21114325.00
MULTIPLE_RECIPIENTS,21020297.00
EDUCATION_TENNESSEE_DEPARTMENT_OF,21003849.00
MULTIPLE_RECIPIENTS,20913441.00
MULTIPLE_RECIPIENTS,20815401.00
MULTIPLE_RECIPIENTS,20715550.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,20684153.00
MULTIPLE_RECIPIENTS,20584958.00
TN_DEPT_OF_HEALTH,20436103.00
MULTIPLE_RECIPIENTS,20342892.00
MULTIPLE_RECIPIENTS,20285988.00
MULTIPLE_RECIPIENTS,20184041.00
MULTIPLE_RECIPIENTS,19440714.00
MULTIPLE_RECIPIENTS,19438230.00
MULTIPLE_RECIPIENTS,19408360.00
TN_Dept_of_Environment_and_Conservation,19394000.00
MULTIPLE_RECIPIENTS,19312991.00
MULTIPLE_RECIPIENTS,19265916.00
MULTIPLE_RECIPIENTS,19160935.00
MULTIPLE_RECIPIENTS,19135213.00
MULTIPLE_RECIPIENTS,19090358.00
MULTIPLE_RECIPIENTS,19035057.00
MULTIPLE_RECIPIENTS,18899256.00
MULTIPLE_RECIPIENTS,18870482.00
MULTIPLE_RECIPIENTS,18825298.00
MULTIPLE_RECIPIENTS,18607695.00
MULTIPLE_RECIPIENTS,18582678.00
MULTIPLE_RECIPIENTS,18562954.00
MULTIPLE_RECIPIENTS,18536200.00
MULTIPLE_RECIPIENTS,18533750.00
MULTIPLE_RECIPIENTS,18523925.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,18459093.00
MULTIPLE_RECIPIENTS,18453816.00
MULTIPLE_RECIPIENTS,18369887.00
MULTIPLE_RECIPIENTS,18354561.00
MULTIPLE_RECIPIENTS,18291603.00
MULTIPLE_RECIPIENTS,18253078.00
MULTIPLE_RECIPIENTS,18252891.00
MULTIPLE_RECIPIENTS,18231249.00
MULTIPLE_RECIPIENTS,18180516.00
TN_DEPT_OF_HUMAN_SERVICES,18151604.00
MIDDLE_TENNESSEE_STATE_UNIVERSITY,18146548.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,18087116.00
MULTIPLE_RECIPIENTS,18018205.00
MULTIPLE_RECIPIENTS,17981886.00
MULTIPLE_RECIPIENTS,17971682.00
MULTIPLE_RECIPIENTS,17963531.00
MULTIPLE_RECIPIENTS,17927231.00
TN_DEPARTMENT_OF_LABOR_AND_WORKFORCE_DEVELOPM,17916026.00
MULTIPLE_RECIPIENTS,17866499.00
MULTIPLE_RECIPIENTS,17822746.00
MULTIPLE_RECIPIENTS,17795738.00
MULTIPLE_RECIPIENTS,17703038.00
MULTIPLE_RECIPIENTS,17601919.00
MULTIPLE_RECIPIENTS,17518171.00
MULTIPLE_RECIPIENTS,17423203.00
MULTIPLE_RECIPIENTS,17413821.00
MULTIPLE_RECIPIENTS,17407201.00
MULTIPLE_RECIPIENTS,17336014.00
WILDLIFE_RESOURCES_AGENCY_TENNESSE,17308897.00
TN_DEPT_OF_HUMAN_SERVICES,17212726.00
MULTIPLE_RECIPIENTS,17125751.00
MULTIPLE_RECIPIENTS,17113934.00
MULTIPLE_RECIPIENTS,17004666.00
MULTIPLE_RECIPIENTS,16917126.00
MULTIPLE_RECIPIENTS,16857019.00
MULTIPLE_RECIPIENTS,16786063.00
MULTIPLE_RECIPIENTS,16690842.00
MULTIPLE_RECIPIENTS,16587749.00
MULTIPLE_RECIPIENTS,16580054.00
MULTIPLE_RECIPIENTS,16459544.00
MULTIPLE_RECIPIENTS,16427668.00
MULTIPLE_RECIPIENTS,16339691.00
MULTIPLE_RECIPIENTS,16312790.00
MULTIPLE_RECIPIENTS,16277644.00
MULTIPLE_RECIPIENTS,16256711.00
MULTIPLE_RECIPIENTS,16211070.00
MULTIPLE_RECIPIENTS,16198915.00
MULTIPLE_RECIPIENTS,16131808.00
MULTIPLE_RECIPIENTS,16123154.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,16121666.00
MULTIPLE_RECIPIENTS,16102668.00
MULTIPLE_RECIPIENTS,16025008.00
MULTIPLE_RECIPIENTS,16009286.00
TN_DEPT_OF_EDUCATION,16000000.00
MILITARY_TENNESSEE_DEPARTMENT_OF,15920811.00
MULTIPLE_RECIPIENTS,15895310.00
MULTIPLE_RECIPIENTS,15880804.00
MULTIPLE_RECIPIENTS,15871311.00
MULTIPLE_RECIPIENTS,15846962.00
MULTIPLE_RECIPIENTS,15777006.00
TN_DEPT_OF_HUMAN_SERVICES,15732337.00
MULTIPLE_RECIPIENTS,15712345.00
MIDDLE_TENNESSEE_STATE_UNIVERSITY,15673115.00
MULTIPLE_RECIPIENTS,15661781.00
MULTIPLE_RECIPIENTS,15650900.00
MULTIPLE_RECIPIENTS,15601474.00
MULTIPLE_RECIPIENTS,15601388.00
MULTIPLE_RECIPIENTS,15593738.00
MULTIPLE_RECIPIENTS,15560916.00
MULTIPLE_RECIPIENTS,15510083.00
MULTIPLE_RECIPIENTS,15496749.00
MULTIPLE_RECIPIENTS,15489460.00
UNIVERSITY_OF_MEMPHIS,15463199.00
MULTIPLE_RECIPIENTS,15460250.00
MULTIPLE_RECIPIENTS,15392819.00
MULTIPLE_RECIPIENTS,15262634.00
MULTIPLE_RECIPIENTS,15253838.00
MULTIPLE_RECIPIENTS,15245448.00
MULTIPLE_RECIPIENTS,15228965.00
MULTIPLE_RECIPIENTS,15177023.00
MULTIPLE_RECIPIENTS,15170145.00
TN_DEPT_OF_HUMAN_SERVICES,15146265.00
MULTIPLE_RECIPIENTS,15029651.00
MULTIPLE_RECIPIENTS,15026324.00
MULTIPLE_RECIPIENTS,15022800.00
MULTIPLE_RECIPIENTS,14993730.00
MULTIPLE_RECIPIENTS,14942323.00
MULTIPLE_RECIPIENTS,14904145.00
MULTIPLE_RECIPIENTS,14850054.00
MULTIPLE_RECIPIENTS,14828441.00
MULTIPLE_RECIPIENTS,14819006.00
MULTIPLE_RECIPIENTS,14808563.00
UNIVERSITY_OF_MEMPHIS,14774289.00
MULTIPLE_RECIPIENTS,14755561.00
MULTIPLE_RECIPIENTS,14746060.00
MULTIPLE_RECIPIENTS,14722453.00
Tennessee_State_Veterans_Home_Board,14674400.00
MULTIPLE_RECIPIENTS,14670749.00
MULTIPLE_RECIPIENTS,14621059.00
MULTIPLE_RECIPIENTS,14539025.00
MULTIPLE_RECIPIENTS,14514873.00
MULTIPLE_RECIPIENTS,14511317.00
MULTIPLE_RECIPIENTS,14503062.00
MULTIPLE_RECIPIENTS,14460346.00
MULTIPLE_RECIPIENTS,14418896.00
MULTIPLE_RECIPIENTS,14265205.00
MULTIPLE_RECIPIENTS,14254524.00
MULTIPLE_RECIPIENTS,14242164.00
TN_DEPARTMENT_OF_LABOR_AND_WORKFORCE_DEVELOPM,14230914.00
MULTIPLE_RECIPIENTS,14207984.00
MULTIPLE_RECIPIENTS,14203748.00
MULTIPLE_RECIPIENTS,14190369.00
TN_DEPT_OF_HUMAN_SERVICES,14168253.00
MULTIPLE_RECIPIENTS,14159484.00
MULTIPLE_RECIPIENTS,14150709.00
MULTIPLE_RECIPIENTS,14131887.00
MULTIPLE_RECIPIENTS,14112812.00
MULTIPLE_RECIPIENTS,14042584.00
TN_DEPT_OF_HUMAN_SERVICES,13986890.00
MULTIPLE_RECIPIENTS,13981938.00
MULTIPLE_RECIPIENTS,13972021.00
MULTIPLE_RECIPIENTS,13967353.00
MULTIPLE_RECIPIENTS,13964332.00
MULTIPLE_RECIPIENTS,13951652.00
MULTIPLE_RECIPIENTS,13944004.00
MULTIPLE_RECIPIENTS,13941737.00
MULTIPLE_RECIPIENTS,13927042.00
MULTIPLE_RECIPIENTS,13923830.00
MULTIPLE_RECIPIENTS,13911219.00
TN_DEPT_OF_HUMAN_SERVICES,13910500.00
MULTIPLE_RECIPIENTS,13884501.00
MULTIPLE_RECIPIENTS,13868927.00
MULTIPLE_RECIPIENTS,13859817.00
MULTIPLE_RECIPIENTS,13856952.00
MULTIPLE_RECIPIENTS,13845124.00
MULTIPLE_RECIPIENTS,13841614.00
MULTIPLE_RECIPIENTS,13839653.00
MULTIPLE_RECIPIENTS,13816373.00
MULTIPLE_RECIPIENTS,13801613.00
MULTIPLE_RECIPIENTS,13789358.00
MULTIPLE_RECIPIENTS,13778068.00
MULTIPLE_RECIPIENTS,13776183.00
MULTIPLE_RECIPIENTS,13739687.00
MULTIPLE_RECIPIENTS,13738566.00
TN_DEPARTMENT_OF_LABOR_AND_WORKFORCE_DEVELOPM,13708765.00
MULTIPLE_RECIPIENTS,13676441.00
MULTIPLE_RECIPIENTS,13667837.00
MULTIPLE_RECIPIENTS,13639371.00
MULTIPLE_RECIPIENTS,13637544.00
MULTIPLE_RECIPIENTS,13631756.00
MULTIPLE_RECIPIENTS,13622599.00
MULTIPLE_RECIPIENTS,13477600.00
MULTIPLE_RECIPIENTS,13431333.00
MULTIPLE_RECIPIENTS,13371436.00
MULTIPLE_RECIPIENTS,13361878.00
MULTIPLE_RECIPIENTS,13333031.00
MULTIPLE_RECIPIENTS,13315294.00
MULTIPLE_RECIPIENTS,13305574.00
MULTIPLE_RECIPIENTS,13299103.00
MULTIPLE_RECIPIENTS,13297284.00
TN_DEPT_OF_HEALTH,13286406.00
MULTIPLE_RECIPIENTS,13284299.00
MULTIPLE_RECIPIENTS,13252074.00
MULTIPLE_RECIPIENTS,13228051.00
MULTIPLE_RECIPIENTS,13214369.00
MULTIPLE_RECIPIENTS,13214334.00
UNIVERSITY_OF_TENNESSEE,13202901.00
MULTIPLE_RECIPIENTS,13182035.00
MULTIPLE_RECIPIENTS,13174463.00
MULTIPLE_RECIPIENTS,13136253.00
MULTIPLE_RECIPIENTS,13078249.00
MULTIPLE_RECIPIENTS,13069524.00
MULTIPLE_RECIPIENTS,13056674.00
MULTIPLE_RECIPIENTS,13049642.00
MULTIPLE_RECIPIENTS,13048822.00
MULTIPLE_RECIPIENTS,13024000.00
MULTIPLE_RECIPIENTS,13003851.00
MULTIPLE_RECIPIENTS,12989147.00
MULTIPLE_RECIPIENTS,12952128.00
MULTIPLE_RECIPIENTS,12939523.00
MULTIPLE_RECIPIENTS,12938901.00
MULTIPLE_RECIPIENTS,12917382.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,12902890.00
MULTIPLE_RECIPIENTS,12840522.00
MULTIPLE_RECIPIENTS,12769048.00
MULTIPLE_RECIPIENTS,12743827.00
MULTIPLE_RECIPIENTS,12648019.00
MULTIPLE_RECIPIENTS,12593508.00
MULTIPLE_RECIPIENTS,12587269.00
MULTIPLE_RECIPIENTS,12579789.00
MULTIPLE_RECIPIENTS,12574244.00
MULTIPLE_RECIPIENTS,12528727.00
MULTIPLE_RECIPIENTS,12512460.00
MULTIPLE_RECIPIENTS,12498420.00
MULTIPLE_RECIPIENTS,12488366.00
MULTIPLE_RECIPIENTS,12480225.00
MULTIPLE_RECIPIENTS,12444328.00
MULTIPLE_RECIPIENTS,12374761.00
MULTIPLE_RECIPIENTS,12358560.00
MULTIPLE_RECIPIENTS,12291415.00
MULTIPLE_RECIPIENTS,12154767.00
MULTIPLE_RECIPIENTS,12100225.00
MULTIPLE_RECIPIENTS,12094127.00
MULTIPLE_RECIPIENTS,12091749.00
MULTIPLE_RECIPIENTS,12083230.00
UNIVERSITY_OF_TENNESSEE,12079250.00
MULTIPLE_RECIPIENTS,12077208.00
MULTIPLE_RECIPIENTS,12076085.00
MULTIPLE_RECIPIENTS,12018072.00
TN_DEPT_OF_HEALTH,12016490.00
MULTIPLE_RECIPIENTS,12009281.00
MULTIPLE_RECIPIENTS,11993301.00
MULTIPLE_RECIPIENTS,11989679.00
MULTIPLE_RECIPIENTS,11985663.00
MULTIPLE_RECIPIENTS,11941252.00
MULTIPLE_RECIPIENTS,11903898.00
MULTIPLE_RECIPIENTS,11902675.00
MULTIPLE_RECIPIENTS,11901115.00
MULTIPLE_RECIPIENTS,11880784.00
MULTIPLE_RECIPIENTS,11845876.00
MULTIPLE_RECIPIENTS,11825344.00
MULTIPLE_RECIPIENTS,11803145.00
MULTIPLE_RECIPIENTS,11800394.00
MULTIPLE_RECIPIENTS,11781458.00
MULTIPLE_RECIPIENTS,11772947.00
TN_ST_DEPARTMENT_OF_CHILDREN_SERVICES,11746851.00
MULTIPLE_RECIPIENTS,11629571.00
MULTIPLE_RECIPIENTS,11614885.00
MULTIPLE_RECIPIENTS,11610339.00
MULTIPLE_RECIPIENTS,11603859.00
MULTIPLE_RECIPIENTS,11585890.00
TN_Commission_on_Aging_and_Disability,11583953.00
MULTIPLE_RECIPIENTS,11576432.00
MULTIPLE_RECIPIENTS,11575700.00
MULTIPLE_RECIPIENTS,11548032.00
MULTIPLE_RECIPIENTS,11539350.00
LABOR_AND_WORKFORCE_DEVELOPMENT_TENNESSEE_DE,11434051.00
MULTIPLE_RECIPIENTS,11412538.00
MULTIPLE_RECIPIENTS,11409903.00
MULTIPLE_RECIPIENTS,11364533.00
MULTIPLE_RECIPIENTS,11363453.00
MULTIPLE_RECIPIENTS,11359576.00
MULTIPLE_RECIPIENTS,11349823.00
MULTIPLE_RECIPIENTS,11322863.00
MULTIPLE_RECIPIENTS,11285248.00
MULTIPLE_RECIPIENTS,11268466.00
MULTIPLE_RECIPIENTS,11261312.00
MULTIPLE_RECIPIENTS,11244077.00
MULTIPLE_RECIPIENTS,11238111.00
MULTIPLE_RECIPIENTS,11230950.00
SOUTHWEST_TENN_CMNTY_COLLEGE,11226766.00
MULTIPLE_RECIPIENTS,11222921.00
MULTIPLE_RECIPIENTS,11183628.00
MULTIPLE_RECIPIENTS,11121289.00
MULTIPLE_RECIPIENTS,11084753.00
MULTIPLE_RECIPIENTS,11066862.00
MULTIPLE_RECIPIENTS,11061309.00
MULTIPLE_RECIPIENTS,11058307.00
MULTIPLE_RECIPIENTS,11057768.00
MULTIPLE_RECIPIENTS,11044389.00
MULTIPLE_RECIPIENTS,11043976.00
MULTIPLE_RECIPIENTS,11023022.00
MULTIPLE_RECIPIENTS,11006898.00
TN_ST_DEPARTMENT_OF_HUMAN_SERVICES,10998097.00
MULTIPLE_RECIPIENTS,10986897.00
TN_DEPT_OF_HEALTH,10970802.00
MULTIPLE_RECIPIENTS,10958793.00
MULTIPLE_RECIPIENTS,10954092.00
MULTIPLE_RECIPIENTS,10950884.00
MULTIPLE_RECIPIENTS,10946685.00
MULTIPLE_RECIPIENTS,10920999.00
MULTIPLE_RECIPIENTS,10907430.00
MULTIPLE_RECIPIENTS,10899373.00
MULTIPLE_RECIPIENTS,10846311.00
MULTIPLE_RECIPIENTS,10819185.00
MULTIPLE_RECIPIENTS,10811500.00
MULTIPLE_RECIPIENTS,10774729.00
MULTIPLE_RECIPIENTS,10749449.00
MULTIPLE_RECIPIENTS,10748359.00
MULTIPLE_RECIPIENTS,10727877.00
MULTIPLE_RECIPIENTS,10707119.00
MULTIPLE_RECIPIENTS,10694153.00
MULTIPLE_RECIPIENTS,10666605.00
MULTIPLE_RECIPIENTS,10664871.00
MULTIPLE_RECIPIENTS,10637893.00
MULTIPLE_RECIPIENTS,10612922.00
MULTIPLE_RECIPIENTS,10612528.00
MULTIPLE_RECIPIENTS,10596164.00
MULTIPLE_RECIPIENTS,10587473.00
MULTIPLE_RECIPIENTS,10574093.00
MULTIPLE_RECIPIENTS,10557197.00
MULTIPLE_RECIPIENTS,10516937.00
MULTIPLE_RECIPIENTS,10514331.00
MULTIPLE_RECIPIENTS,10502300.00
MULTIPLE_RECIPIENTS,10498901.00
MULTIPLE_RECIPIENTS,10489013.00
MULTIPLE_RECIPIENTS,10477664.00
MULTIPLE_RECIPIENTS,10417565.00
MULTIPLE_RECIPIENTS,10403082.00
MULTIPLE_RECIPIENTS,10398197.00
MULTIPLE_RECIPIENTS,10397500.00
MULTIPLE_RECIPIENTS,10380109.00
